269931,cs1881x_project_1_q4,BerkeleyX/CS188.1x/2012_Fall
322889,cs188_hw4_q4,BerkeleyX/CS188/fa12
272051,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
552464,600x_l1_v1,MITx/6.00x/2012_Fall
370278,6002x_lumped_element_abstraction,MITx/6.002x/2012_Fall
322731,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
324926,cs188_practice_midterm_1,BerkeleyX/CS188/fa12
160449,cs1881x_self_diagnostic_pi,BerkeleyX/CS188.1x/2012_Fall
107618,600x_l1_p1,MITx/6.00x/2012_Fall
520217,600x_l2_p6,MITx/6.00x/2012_Fall
316660,600x_l2_p8,MITx/6.00x/2012_Fall
502369,600x_ps2_q1,MITx/6.00x/2012_Fall
335890,6002x_lumped_element_abstraction,MITx/6.002x/2012_Fall
286954,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
402758,600x_l2_p11,MITx/6.00x/2012_Fall
297823,600x_ps1_Win,MITx/6.00x/2012_Fall
521667,600x_l2_p11,MITx/6.00x/2012_Fall
306588,600x_l1_p3,MITx/6.00x/2012_Fall
5446,cs1881x_python_refresher,BerkeleyX/CS188.1x/2012_Fall
410943,6002x_Fall2012_General,MITx/6.002x/2012_Fall
85766,CS169_1x_2012_Fall_L1P1,BerkeleyX/CS169.1x/2012_Fall
277481,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
419061,600x_ps1_Win,MITx/6.00x/2012_Fall
528670,600x_l2_p5,MITx/6.00x/2012_Fall
322137,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
327345,cs188_hw2_q4,BerkeleyX/CS188/fa12
468193,6002x_Fall2012_General,MITx/6.002x/2012_Fall
266286,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
310824,1x_2012_Fall_Study_groups,BerkeleyX/CS169.1x/2012_Fall
438395,6002x_Fall2012_General,MITx/6.002x/2012_Fall
523402,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
530170,cs1881x_L3_quiz_4,BerkeleyX/CS188.1x/2012_Fall
507313,600x_l3_p1,MITx/6.00x/2012_Fall
323314,cs188_project_1_q5,BerkeleyX/CS188/fa12
175876,6002x_Lab_0_Using_the_Tools,MITx/6.002x/2012_Fall
102276,600x_ps2,MITx/6.00x/2012_Fall
356212,6002x_Fall2012_General,MITx/6.002x/2012_Fall
421822,600x_l3_p1,MITx/6.00x/2012_Fall
5574,600x_l2_p2,MITx/6.00x/2012_Fall
327848,1x_2012_Fall_edX_Tutorial,BerkeleyX/CS169.1x/2012_Fall
365551,6002x_Fall2012_General,MITx/6.002x/2012_Fall
85772,600x_l4_p9,MITx/6.00x/2012_Fall
485720,cs1881x_hw1_q7,BerkeleyX/CS188.1x/2012_Fall
294621,600x_l2_p9,MITx/6.00x/2012_Fall
358302,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
27341,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
378068,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
263285,600x_ps2_q1,MITx/6.00x/2012_Fall
32615,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
303598,6002x_Fall2012_General,MITx/6.002x/2012_Fall
217623,CS169_1x_2012_Fall_L1P1,BerkeleyX/CS169.1x/2012_Fall
269641,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
323839,6002x_Fall2012_General,MITx/6.002x-EE98/2012_Fall_SJSU
323937,cs188_project_3_q1,BerkeleyX/CS188/fa12
392663,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
194450,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
557705,6002x_S1E3_AC_power,MITx/6.002x/2012_Fall
193033,6002x_S1E9_Battery_Model,MITx/6.002x/2012_Fall
252722,6002x_MOSFET_amp_w_source_degeneration_t,MITx/6.002x/2012_Fall
280753,600x_l2_p4,MITx/6.00x/2012_Fall
27660,600x_l1_p3,MITx/6.00x/2012_Fall
480977,600x_l2_p7,MITx/6.00x/2012_Fall
362599,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
267348,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
525251,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
272040,600x_l1_v1,MITx/6.00x/2012_Fall
524410,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
364718,600x_ps1,MITx/6.00x/2012_Fall
224280,CS169_1x_2012_Fall_L3V3,BerkeleyX/CS169.1x/2012_Fall
361329,6002x_Lab_0_Using_the_Tools,MITx/6.002x/2012_Fall
524669,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
378096,6002x_Fall2012_General,MITx/6.002x/2012_Fall
352388,600x_l2_p3,MITx/6.00x/2012_Fall
327787,6002x_Fall2012_General,MITx/6.002x/2012_Fall
495491,600x_l2_p5,MITx/6.00x/2012_Fall
292944,600x_l1_v1,MITx/6.00x/2012_Fall
468052,6002x_Fall2012_General,MITx/6.002x/2012_Fall
130290,6002x_Fall2012_General,MITx/6.002x/2012_Fall
94557,6002x_Fall2012_Feedback,MITx/6.002x/2012_Fall
395257,6002x_Fall2012_General,MITx/6.002x/2012_Fall
24522,cs1881x_hw1_section,BerkeleyX/CS188.1x/2012_Fall
465757,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
381746,6002x_Fall2012_General,MITx/6.002x/2012_Fall
372955,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
908,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
340856,6002x_S2E2_Associated_Reference_Directions,MITx/6.002x/2012_Fall
51896,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
112762,cs1881x_self_diagnostic_pi,BerkeleyX/CS188.1x/2012_Fall
77670,CS169_1x_2012_Fall_L2V4,BerkeleyX/CS169.1x/2012_Fall
345464,6002x_S2E5_Node_Method,MITx/6.002x/2012_Fall
553381,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
544420,600x_l2_p3,MITx/6.00x/2012_Fall
374421,600x_l2_v5,MITx/6.00x/2012_Fall
294836,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
401664,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
322724,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
142857,6002x_Fall2012_General,MITx/6.002x/2012_Fall
445870,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
331952,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
45773,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
237067,cs1881x_python_refresher,BerkeleyX/CS188.1x/2012_Fall
329721,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
36599,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
498684,cs1881x_project_1_q2,BerkeleyX/CS188.1x/2012_Fall
416863,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
138799,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
280238,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
133891,6002x_Fall2012_General,MITx/6.002x/2012_Fall
554469,600x_l1_v1,MITx/6.00x/2012_Fall
323230,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
468795,600x_l2_v3,MITx/6.00x/2012_Fall
348184,600x_l2_p5,MITx/6.00x/2012_Fall
395639,6002x_S1E3_AC_power,MITx/6.002x/2012_Fall
527467,600x_l4_v4,MITx/6.00x/2012_Fall
529346,600x_l1_v1,MITx/6.00x/2012_Fall
243122,600x_l2_v5,MITx/6.00x/2012_Fall
181869,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
176687,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
44276,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
126629,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
517444,600x_l2_p9,MITx/6.00x/2012_Fall
508385,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
322191,cs188_hw2_q1,BerkeleyX/CS188/fa12
543932,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
494523,600x_l2_p5,MITx/6.00x/2012_Fall
153760,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
237535,cs1881x_L2_Part_11,BerkeleyX/CS188.1x/2012_Fall
340436,cs1881x_hw1_q2,BerkeleyX/CS188.1x/2012_Fall
487925,600x_ps1,MITx/6.00x/2012_Fall
413536,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
144678,6002x_S1E2_Power,MITx/6.002x/2012_Fall
335775,cs188_sbs_a_star,BerkeleyX/CS188/fa12
527595,600x_l2_p1,MITx/6.00x/2012_Fall
303762,6002x_Fall2012_General,MITx/6.002x/2012_Fall
259311,600x_l3_v7,MITx/6.00x/2012_Fall
396109,600x_l1_v1,MITx/6.00x/2012_Fall
490783,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
193033,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
192114,6002x_S3E2_Linear_Combinations_of_Source_Strengths,MITx/6.002x/2012_Fall
343055,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
152297,600x_ps1,MITx/6.00x/2012_Fall
213699,600x_l2_p7,MITx/6.00x/2012_Fall
568881,600x_l2_p2,MITx/6.00x/2012_Fall
195385,600x_l3_p4,MITx/6.00x/2012_Fall
124360,6002x_S1V1toS1V4,MITx/6.002x/2012_Fall
69075,6002x_Fall2012_General,MITx/6.002x/2012_Fall
276803,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
445565,600x_l1_p3,MITx/6.00x/2012_Fall
193445,BerkeleyX_CS188_1x_2012_Fall,BerkeleyX/CS188.1x/2012_Fall
444204,6002x_Fall2012_General,MITx/6.002x/2012_Fall
261307,cs1881x_self_diagnostic_events,BerkeleyX/CS188.1x/2012_Fall
339479,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
2620,6002x_Fall2012_General,MITx/6.002x/2012_Fall
281045,cs1881x_sbs_a_star,BerkeleyX/CS188.1x/2012_Fall
263285,600x_ps2_q3,MITx/6.00x/2012_Fall
321981,CS169_1x_2012_Fall_HW1_4,BerkeleyX/CS169.1x/2012_Fall
162237,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
15344,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
279282,cs1881x_L2_Part_11,BerkeleyX/CS188.1x/2012_Fall
478685,600x_l2_p10,MITx/6.00x/2012_Fall
219752,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
134904,6002x_kvl_kcl_exercises,MITx/6.002x/2012_Fall
369560,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
168077,600x_ps1,MITx/6.00x/2012_Fall
516332,600x_l4_p9,MITx/6.00x/2012_Fall
244191,cs1881x_self_diagnostic_cp,BerkeleyX/CS188.1x/2012_Fall
7277,600x_l4_p12,MITx/6.00x/2012_Fall
474782,600x_l3_p2,MITx/6.00x/2012_Fall
430650,6002x_kvl_kcl_exercises,MITx/6.002x/2012_Fall
256625,600x_l1_v3,MITx/6.00x/2012_Fall
401175,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
212629,600x_l1_v1,MITx/6.00x/2012_Fall
156713,6002x_L2Node2,MITx/6.002x/2012_Fall
97340,6002x_Fall2012_General,MITx/6.002x/2012_Fall
123204,CS169_1x_2012_Fall_L3V2,BerkeleyX/CS169.1x/2012_Fall
504039,600x_l2_v6,MITx/6.00x/2012_Fall
51465,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
451022,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
116445,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
425976,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
156694,6002x_Fall2012_General,MITx/6.002x/2012_Fall
7487,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
72781,CS169_1x_2012_Fall_HW1_1,BerkeleyX/CS169.1x/2012_Fall
44515,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
283842,600x_l2_p7,MITx/6.00x/2012_Fall
208766,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
552996,600x_l2_p4,MITx/6.00x/2012_Fall
269696,6002x_Fall2012_General,MITx/6.002x/2012_Fall
386228,600x_l1_v2,MITx/6.00x/2012_Fall
322542,cs188_hw3_q8,BerkeleyX/CS188/fa12
460288,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
106510,cs1881x_L3_quiz_3,BerkeleyX/CS188.1x/2012_Fall
353181,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
136863,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
166031,6002x_types_of_dep_src,MITx/6.002x/2012_Fall
456614,6002x_Fall2012_General,MITx/6.002x/2012_Fall
186761,600x_l2_v6,MITx/6.00x/2012_Fall
515118,600x_l1_p3,MITx/6.00x/2012_Fall
527190,cs1881x_L3_Part_5,BerkeleyX/CS188.1x/2012_Fall
342019,600x_l2_p9,MITx/6.00x/2012_Fall
335846,6002x_Fall2012_General,MITx/6.002x-EE98/2012_Fall_SJSU
228637,6002x_Lab_0_Using_the_Tools,MITx/6.002x/2012_Fall
185715,6002x_graphs_exercise,MITx/6.002x/2012_Fall
242258,600x_l1_p1,MITx/6.00x/2012_Fall
240487,6002x_Fall2012_General,MITx/6.002x/2012_Fall
414307,cs1881x_L2_quiz_4,BerkeleyX/CS188.1x/2012_Fall
402144,6002x_Fall2012_General,MITx/6.002x/2012_Fall
245026,600x_l2_v4,MITx/6.00x/2012_Fall
181745,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
524669,cs1881x_hw1_q1,BerkeleyX/CS188.1x/2012_Fall
278301,6002x_small_signal,MITx/6.002x/2012_Fall
147264,MITx_6_002x_2012_Fall,MITx/6.002x/2012_Fall
226013,600x_l2_p3,MITx/6.00x/2012_Fall
250875,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
224076,600x_l2_v2,MITx/6.00x/2012_Fall
34401,5_Simple_Power,MITx/6.002x/2012_Fall
4730,600x_ps1_Win,MITx/6.00x/2012_Fall
450354,600x_ps2_q1,MITx/6.00x/2012_Fall
19150,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
383362,i4x-MITx-6_00x-course-2012_Fall,MITx/6.00x/2012_Fall
239291,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
324047,BerkeleyX_CS188_fa12,BerkeleyX/CS188/fa12
253377,600x_l2_p2,MITx/6.00x/2012_Fall
343962,i4x-BerkeleyX-CS169_1x-course-2012_Fall,BerkeleyX/CS169.1x/2012_Fall
369561,600x_l1_p1,MITx/6.00x/2012_Fall
324751,cs188_hw4_q1,BerkeleyX/CS188/fa12
521632,1x_2012_Fall_General,BerkeleyX/CS169.1x/2012_Fall
